"","dc_0","ell_1e","ell_1as","omega_1e","omega_1as","omega_1bs","phi_0","tau_0"
"mean",-0.0923021105544107,11.5913697781769,195.213388064082,0.307744954840827,0.475244626804669,0.400071294511807,0.567793251844524,0.317668695589677
"sd",0.274430604576676,2.97254529131486,95.2025751838225,0.0170481353922133,0.123685522416247,NA,NA,NA
"0.025quant",-0.63110192285107,6.29366216842648,67.1743022200169,0.272829178086825,0.2819212648677,0.453907918081642,0.570076882917982,0.324981414322451
"0.5quant",-0.0923098387708811,11.4696455324468,176.801740549918,0.308518175140674,0.45822139012527,0.406687605016112,0.5677105925236,0.317670799769689
"0.975quant",0.446048046050499,17.8061423371983,432.565608707521,0.339395245418178,0.764348161957848,0.338788298586328,0.565923178702392,0.310784683283847
"mode",-0.0923021105544109,11.2493598508745,142.803343945539,0.311929533277193,0.425882873358414,0.425925560029886,0.567406621210711,0.317616473853597
