"","dc_0","ell_1e","ell_1as","omega_1e","omega_1as","omega_1bs","phi_0","tau_0"
"mean",-0.00161883787230478,13.5705784220904,171.303451412278,0.293686372297373,0.465152689878412,0.408106506380908,0.571476572849323,0.300498028561627
"sd",0.245741496943204,2.63966223755686,89.1477895256465,0.0192027465851603,0.112187519307209,NA,NA,NA
"0.025quant",-0.484092258177378,9.3276250375184,58.5930448976627,0.255077905194416,0.285107656344018,0.45322039728959,0.573554987963344,0.307362985482752
"0.5quant",-0.00162575817730168,13.238811652084,151.707639391598,0.294262017373568,0.451321912286717,0.410295290236362,0.571430613322906,0.3008164237311
"0.975quant",0.480451933963695,19.637533673957,398.558655762677,0.330148644016364,0.724172618177898,0.365598390720249,0.569633983073889,0.292606233001409
"mode",-0.00161883787230483,12.550753939273,119.604377975682,0.29713762609225,0.424805434785496,0.415776235491223,0.571262894161327,0.301896091105794
