"quant","dc_0","dc_0_pdf","ell_1e","ell_1e_pdf","ell_1as","ell_1as_pdf","omega_1e","omega_1e_pdf","omega_1as","omega_1as_pdf","omega_1bs","omega_1bs_pdf","phi_0","phi_0_pdf","tau_0","tau_0_pdf"
0,-2.45903380730434,3.13117593992885e-22,7.41436422644765,0.00134806913260789,30.9310342166159,0.000115941056759193,0.230186445581415,0.0971418831898868,0.209720441562427,0.0355987812808233,0.337286965730227,0.0839900826136847,0.568490442831147,2.04023122346387,0.286873429298143,0.409155547751851
0.01,-0.614568615363943,0.0855558296692925,8.79103082351387,0.018362606657133,49.7672774138181,0.00115659936964597,0.248591466757993,1.47896946271175,0.263492336737116,0.452570272838419,0.358155502135015,1.27772592682567,0.569339742819913,32.1753878493182,0.29113232901192,6.47713099319778
0.02,-0.545298759318788,0.161096048540564,9.2005888186805,0.0311315962865109,56.5471988645606,0.00180856092099953,0.253692061694696,2.52014035609507,0.280258904096843,0.755312095541686,0.364010280034645,2.20632338787423,0.56956827864271,56.9963210306582,0.292275101562062,11.3257931633495
0.03,-0.506689545957114,0.232543936872936,9.47469445443254,0.042053551256131,61.384677995824,0.0023272208557743,0.257026858783747,3.51636501782758,0.291588186052799,1.01542983420168,0.367817265907586,3.08148730492203,0.569715941392988,79.1071111984476,0.293016132433777,15.8590481300652
0.04,-0.46808033259544,0.303991825205307,9.68795583756043,0.0517757318895406,65.3091475305923,0.00276530012526449,0.259536774570346,4.47070996098693,0.300430302706026,1.24785907735396,0.370683354389002,3.91213551954521,0.569828154641563,99.3759092400035,0.293572200850676,20.2095422726165
0.05,-0.429471119233766,0.375439713537679,9.86585385189237,0.0606135282820542,68.6895606091923,0.00314496372441621,0.261568824967701,5.37475046761666,0.307818066387697,1.4584191463326,0.373008186090186,4.69311286111552,0.569920058042506,118.273828668176,0.294021451829465,24.3460934606065
0.06,-0.399150826187456,0.441936617049619,10.0203403970945,0.0687432518413948,71.705680828208,0.00347762988777611,0.263293535084734,6.21115726986624,0.31424709206631,1.64969366035087,0.374985663239079,5.41382883812617,0.569998651796836,136.082271966809,0.294401911381485,28.2125403800426
0.07,-0.381205174754412,0.501042128141973,10.1581325401512,0.0762528587554631,74.461395647496,0.00377067926666526,0.264808736254418,6.9694914364811,0.319998948185207,1.82373592288318,0.376724690827657,6.07308914845884,0.570067798616753,152.903529241852,0.294734912191837,31.8043740050515
0.08,-0.363259523321368,0.560147639234326,10.2834076880167,0.0832104463229287,77.0218857746379,0.00403016368301968,0.266174749517653,7.64603991920387,0.325246973657436,1.9826912748426,0.378291355515246,6.6760759946307,0.570129897294309,168.811052820674,0.295033381880708,35.1453456592239
0.09,-0.345313871888324,0.61925315032668,10.3989441041133,0.0896797435812275,79.4308771100818,0.00426164853233554,0.267430604501355,8.25369989954841,0.330105456981918,2.12894226770075,0.37972723780146,7.23469030939541,0.570186535985279,183.880564926133,0.295305508211277,38.2827338885566
0.1,-0.32736822045528,0.678358661419033,10.5066828161808,0.0957239817663754,81.7185411668955,0.00447040795291397,0.268599929313173,8.82860462969437,0.334651810485094,2.26508085993157,0.381058853166517,7.76720517631749,0.570238813250098,198.192324088554,0.295556640699562,41.2874680841065
0.11,-0.31181807441947,0.732646029359639,10.6080116810451,0.101395668119127,83.9062622927374,0.00466072096223402,0.269695533339502,9.40471863280895,0.338940180165116,2.39325181487142,0.382303107900182,8.28837189295574,0.570287526293953,211.820041411828,0.295790328321827,44.2243030261133
0.12,-0.299593355206822,0.780244878671502,10.7039868491419,0.10671947785161,86.010126701903,0.00483448906755266,0.270725979638223,9.97921685439059,0.343010883867881,2.51408849511175,0.383472192133694,8.79778636441806,0.570333269250612,224.796103399482,0.296009129931572,47.095844952973
0.13,-0.287368635994173,0.827843727983364,10.7954253005592,0.111714619097586,88.0428463974496,0.00499295594381253,0.27169911608045,10.5442766820133,0.346895710145628,2.62788574762087,0.384576313350766,9.29278852331193,0.570376502034474,237.147103454894,0.296215136230713,49.8913138856934
0.14,-0.275143916781525,0.875442577295227,10.8829828351895,0.116401271198658,90.0148654687391,0.0051371756885769,0.272622087896902,11.0930171565725,0.350620605796882,2.73486309044012,0.385624029902664,9.77064357746065,0.570417590368404,248.904276527301,0.296410070148443,52.5997915648611
0.15,-0.262919197568876,0.923041426607089,10.9671862509103,0.120800184274052,91.9347341789286,0.0052680049684477,0.273501323684291,11.6184669479104,0.354206776284364,2.83515726583655,0.3866226682355,10.2283692941718,0.570456824689372,260.102137863435,0.296595375546748,55.2098503479104
0.16,-0.251908033576695,0.966318323245546,11.0484665963911,0.124930261096567,93.8097561449712,0.00538623080471639,0.274342659500494,12.1157191079121,0.357672251013449,2.92891867881235,0.387578602736363,10.6638960418694,0.570494442396779,270.775067396817,0.296772287108587,57.714288130067
0.17,-0.242178089721375,1.00503228553842,11.1271832379088,0.12880384387598,95.646055411158,0.00549266816264222,0.275151017190923,12.5863524749497,0.36103199213751,3.01645971840233,0.388497148180177,11.0783019768927,0.570530638995656,280.943141060819,0.296941825131199,60.1184089813338
0.18,-0.232448145866055,1.04374624783128,11.2036387109976,0.132431918443067,97.4489158142676,0.00558817308559274,0.275930440532802,13.0333660274983,0.364298790624524,3.09816274489854,0.389382731959545,11.4733928748395,0.570565577945204,290.621948696308,0.297104839639341,62.4300473491762
0.19,-0.222718202010736,1.08246021012415,11.2780936116517,0.135825746323878,99.2228223598923,0.00567359435599469,0.276684153188844,13.460116956179,0.367483304019046,3.17442420643932,0.390238975915033,11.8511344432423,0.570599399709644,299.827016264295,0.297262032460676,64.6573181811698
0.2,-0.212988258155416,1.12117417241702,11.3507693691289,0.138996319662044,100.971652895082,0.00574979995283009,0.277414807817732,13.8703219961095,0.370594691873616,3.24567279598142,0.391068882460421,12.2136562925545,0.570632223113105,308.572635739328,0.297413988577819,66.8086440012789
0.21,-0.204024931042309,1.15576975005621,11.4218606397927,0.141954555979135,102.698727161006,0.00581755997680024,0.278124505731382,14.266766184058,0.373640665612594,3.31228152759313,0.391874963211714,12.5626970073941,0.570664152003774,316.871796141773,0.297561205311214,68.8909169670757
0.22,-0.195675760616354,1.18706598222582,11.4915344365996,0.144709050443093,104.40697406002,0.0058773474824008,0.278815080496061,14.6496385715168,0.376627997179019,3.3744357534085,0.392659344479038,12.8985455576335,0.57069527667454,324.732287515639,0.297704104760636,70.9056409650797
0.23,-0.187326590190398,1.21836221439542,11.5599410816108,0.147267813389719,106.099023919571,0.00592955889496199,0.279488142533671,15.0186620593527,0.37956265887467,3.43227663308847,0.393423953949006,13.2212544458968,0.570725676583133,332.162825796492,0.297843065782044,72.8534837933275
