"","dc_0","ell_1e","ell_1as","omega_1e","omega_1as","omega_1bs","phi_0","tau_0"
"mean",-0.0689763264797478,16.5943135705897,210.389428542757,0.31053486864576,0.508609619531746,0.387317811207194,0.555431074946,0.302918142060599
"sd",0.290150343994654,2.87566928389729,99.6926878482222,0.0249034812745423,0.124656174727813,NA,NA,NA
"0.025quant",-0.638639287807558,11.2069019517496,79.4247275990256,0.259175695340848,0.309900219840663,0.450829942831109,0.557889395967329,0.308229608778896
"0.5quant",-0.0689844973784373,16.5439519418629,189.718153242288,0.311966175370134,0.492775086065495,0.39712669602851,0.555685278490526,0.303143634705986
"0.975quant",0.500211222297622,22.4382374120195,462.257447661142,0.355599039934521,0.796662928726435,0.313324690943551,0.551714072658127,0.296870981465598
"mode",-0.0689763264797479,16.5910956449719,154.972858239584,0.318408959170779,0.462451166027465,0.42594798343075,0.556731268843597,0.303912794142757
