"quant","dc_0","dc_0_pdf","ell_1e","ell_1e_pdf","ell_1as","ell_1as_pdf","omega_1e","omega_1e_pdf","omega_1as","omega_1as_pdf","omega_1bs","omega_1bs_pdf","phi_0","phi_0_pdf","tau_0","tau_0_pdf"
0,-0.290352740538395,2.58181898207547e-21,26.8274620964418,6.94893339847518e-05,0.27968713165393,0.0080551948393993,0.0016016345011029,1.52689808991764,6.22828684501304e-05,25.3290276481452,0.00620832984628462,17.0681767508003,0.485140597180224,1.88240539977385,0.0342788913778221,2.89405516674862
0.01,-0.066659868530877,0.705452741414528,65.6772778404475,0.0004785996371327,0.594469156448128,0.0616758271951314,0.00317304439763753,12.9482317056237,0.000181809129024559,139.637655638592,0.00668805050524282,24.4951527154799,0.486048978193851,30.3598221368122,0.0348836555065544,44.3684603031249
0.02,-0.0582589655970638,1.32832151255237,82.9737563673491,0.000671828371462522,0.726467664982823,0.0894732236466096,0.00379436506408705,19.2110569832715,0.000243015350745094,185.225958255144,0.00704229373216466,31.551620680799,0.486293859490408,53.1067578336307,0.0350498712407361,78.2783844439015
0.03,-0.0535765211353506,1.91744686949388,96.5319096259164,0.000798064475831245,0.826887899564489,0.109154574712283,0.00425976415585461,23.6683346117255,0.000292724621874502,215.795301510156,0.00732572991202357,38.3665016715159,0.486451234510271,74.91526776626,0.0351573029830039,108.892435623988
0.04,-0.0488940766736375,2.50657222643539,108.357551819452,0.000889025370641559,0.9123436645621,0.124333322794998,0.00465285168520753,27.1166841297902,0.000336647156142354,238.387773795259,0.00756347857865328,44.796857861187,0.486568653401834,95.8651844842402,0.035238701805735,137.226937170208
0.05,-0.0442116322119244,3.0956975833769,119.157273478872,0.000959791097951817,0.988837357621139,0.136604306753352,0.0050028111231712,29.9555983988519,0.000377051754882723,255.492966886842,0.00777233318306767,49.799634632004,0.486663210075546,115.759367135706,0.0353051817012815,163.680123189844
0.06,-0.0405344506303606,3.64399947068724,129.253183718463,0.0010184188880492,1.05927234042954,0.146814855488137,0.0053231114034511,32.4091558105756,0.00041515611189363,268.297165472322,0.00796194918666377,54.4743324965377,0.486743154399049,134.269155150578,0.035361956081974,188.42326001589
0.07,-0.0383580396432385,4.13135544624122,138.828267857826,0.00106755152199515,1.12533668211604,0.155379307091607,0.00562142874755224,34.5521953639166,0.000451714711449156,277.767153598685,0.00813621282955936,58.9782608898312,0.486813107599398,151.302816289094,0.0354119097607327,211.587721315409
0.08,-0.0361816286561163,4.6187114217952,148.007145809378,0.00110858013847229,1.18813062432123,0.162579687587393,0.00590287418845891,36.4241829648798,0.000487214655929592,284.679431226626,0.00829785682251633,63.3149670982422,0.486875868114097,166.945683631419,0.0354568132243486,233.329648948678
0.09,-0.0340052176689941,5.10606739734917,156.880619371393,0.0011425237428391,1.24841374789422,0.168640674208563,0.00617108431682768,38.0550310860383,0.000521983678806664,289.688060710408,0.00844900781482033,67.4525700456533,0.486933193125761,181.483516729545,0.0354978198124584,253.835426837208
0.1,-0.031828806681872,5.59342337290315,165.518181864678,0.00117016868126995,1.30673428588472,0.173752959851246,0.00642876964664032,39.4687222386966,0.000556239787423312,293.365260656807,0.0085914394012081,71.2866330595023,0.486986197204768,195.403706945559,0.0355357125824871,273.321476168869
0.11,-0.029942917567734,6.04105122814006,173.974321863092,0.00119222095465546,1.36349396770997,0.178067230413792,0.00667799600485644,40.6872219183536,0.000590123769234607,296.130419518371,0.00872675321082169,74.7532571287559,0.487035581869711,209.116656715715,0.0355710483774549,291.971110608847
0.12,-0.0284603292477636,6.43352873510862,182.29248472586,0.00120948682224223,1.41900478110177,0.181681803382981,0.00692038105556183,41.7350455752632,0.00062373777815346,298.111607595174,0.00885611017572822,78.0535336558271,0.48708184949306,222.604180162047,0.0356042390979037,309.824229213491
0.13,-0.0269777409277932,6.82600624207717,190.506775048948,0.00122268722153652,1.47351555245272,0.184676382541396,0.00715717847331,42.6342248991429,0.000657169712335336,299.375431949488,0.00898016993330463,81.2618754058415,0.487125423310893,235.78146510188,0.0356356077205141,326.895890673693
0.14,-0.0254951526078228,7.21848374904573,198.644511893806,0.00123246639925784,1.52723011033234,0.187122305771225,0.0073893885990927,43.4047742237326,0.000690497973988977,299.979268280288,0.00909952943894461,84.3195307230382,0.487166658910518,248.56336983655,0.0356654136102987,343.200699267434
0.15,-0.0240125642878524,7.61096125601428,206.727506620935,0.00123940264206003,1.58031670345931,0.189084082344997,0.00761780705039751,44.0648826218556,0.000723793509323808,299.971862018412,0.00921474464603598,87.2170270842953,0.487205861856087,260.858838038212,0.0356938656788684,358.751687449625
0.16,-0.0226771534010979,7.96780199371179,214.773312850175,0.00124393762715837,1.63291568317834,0.190615847244244,0.00784307684342346,44.6286476836778,0.000757121432531622,299.40685847816,0.00932628325022547,89.9775230108028,0.487243297682849,272.604600300925,0.0357211378485171,373.5661428744
0.17,-0.0214971262067768,8.28701894171042,222.79698595453,0.00124628243653214,1.68514796595029,0.191755949913131,0.00806574277630568,45.1029977144823,0.000790540247664747,298.354466628286,0.00943452244648632,92.6162663892901,0.487279187236099,283.826824775941,0.0357473737868485,387.67038750508
0.18,-0.0203170990124557,8.60623588970906,230.812150430164,0.00124660810280277,1.73711962363834,0.192537590273041,0.00828628405802109,45.4937088299719,0.000824101365484907,296.881960902481,0.00953978685177366,95.1393735737843,0.487313714191926,294.571556201817,0.0357726936975647,401.094339673818
0.19,-0.0191370718181346,8.9254528377077,238.831263121762,0.00124508160721476,1.788925344242,0.192992327915643,0.00850512848372019,45.8065281021995,0.000857850512207031,295.049328282778,0.00964235574191977,97.5462465265598,0.487347027988432,304.889456483372,0.0357971998230358,413.871111266687
0.2,-0.0179570446238135,9.24466978570634,246.865774655754,0.00124186175772966,1.84064958818569,0.193149207324572,0.00872265609394374,46.0470225969594,0.00089182800508174,292.911638347653,0.00974248529285787,99.8357922182541,0.487379252576404,314.836028285285,0.0358209778861229,426.035399147979
0.21,-0.0168699911009631,9.5299284896511,254.926199404509,0.00123711001243303,1.89236864983988,0.193034963288155,0.00893920935142455,46.2209195811255,0.000926070081473397,290.513466661525,0.00984039385833004,102.025210321979,0.487410491139075,324.455260846557,0.0358441022680803,437.618219983817
0.22,-0.0158574212137009,9.78798235769652,263.022261809639,0.00123098080327871,1.94415236086516,0.192670614582384,0.00915509351716977,46.3336512693888,0.000960610105490795,287.882200932554,0.0099362630134573,104.132896635268,0.487440831316202,333.752059650066,0.0358666369264729,448.632468885783
0.23,-0.0148448513264387,10.0460362257419,271.162900159062,0.00122361116749389,1.9960656056972,0.192075348969563,0.00937058573638635,46.3900759559512,0.000995480384957067,285.04032122732,0.0100302404744591,106.179242112635,0.487470352245513,342.72529876561,0.0358886384419209,459.088905839632
0.24,-0.0138322814391764,10.3040900937873,279.356579487485,0.00121511694126767,2.04816944553686,0.19126655527405,0.0095859385649603,46.3942713769619,0.00103071205729663,282.008390453569,0.0101224596910556,108.109320015108,0.487499123341265,351.373145127977,0.0359101572526968,468.999420848107
0.25,-0.0128197115519142,10.5621439618328,287.61125997111,0.00120559993228668,2.10052143828629,0.190260613183704,0.0098013860448914,46.3498518444543,0.00106633568518833,278.805114579972,0.0102131238187296,109.882823287014,0.487527207831012,359.694004375434,0.0359312377313233,478.37607488755
0.26,-0.0118724292253934,10.7861593426896,295.934690730501,0.00119514027595514,2.15317670389998,0.189071771630777,0.0100171478079419,46.2596036129603,0.00110238118922656,275.447467049214,0.0103023584597551,111.605626771025,0.487554662356423,367.687552886456,0.0359519203421843,487.23056990619
0.27,-0.0109630290909236,10.990424368438,304.334432131983,0.00118379452065942,2.20618848664377,0.187711023140257,0.0102334342407845,46.1254502327213,0.0011388782601983,271.950371625679,0.0103902408635887,113.292800220725,0.487581537950868,375.358066328386,0.0359722410007418,495.568302129243
0.28,-0.0100536289564538,11.1946893941865,312.818114538282,0.00117161868317144,2.2596093998056,0.186188353368263,0.0104504505598324,45.9493566837228,0.00117585648619896,268.32766187478,0.0104768365559258,114.944870887279,0.487607881062052,382.711978737905,0.0359922328870118,503.394705783455
0.29,-0.00914422882198394,11.3989544199349,321.393278757021,0.00115867413154287,2.31349131966406,0.184513535438465,0.0106683951349765,45.7336158821619,0.0012133454268199,264.592362594039,0.0105622123845646,116.552158546507,0.48763373287162,389.756488844955,0.0360119261520724,510.715395052498
0.3,-0.00823482868751411,11.6032194456834,330.067495779701,0.00114502567816961,2.36788598935723,0.182696025288251,0.0108874608289025,45.4807304932013,0.00125137484161719,260.756755070006,0.0106464468768515,118.064850871396,0.48765913151878,396.500587655777,0.0360313485219836,517.536523784227
0.31,-0.00737344361359484,11.7721253306428,338.848211601791,0.00113074363595055,2.42284485045362,0.180745756269599,0.0111078323877974,45.1935132681255,0.00128997451648323,256.83301151425,0.0107296615453847,119.442916521801,0.487684110757335,402.954196144009,0.0360505256888422,523.86799697145
0.32,-0.00653079681575992,11.9272320172962,347.742826689293,0.00111590024972041,2.47841904095967,0.17867437076721,0.0113296879078739,44.874835160765,0.00132917447002961,252.834082422198,0.010811931406121,120.79394958634,0.487708701657976,409.128302349752,0.0360694808899761,529.728043420753
