"","dc_0","ell_1e","ell_1as","omega_1e","omega_1as","omega_1bs","phi_0","tau_0"
"mean",0.00767739558373109,854.212021639198,5.50731560005868,0.0207103662274464,0.00364497133383813,0.0110031507130022,0.488073230334552,0.0364015893406059
"sd",0.0298030136122127,1058.4497759294,6.20027117781886,0.0174528243595426,0.00487308522629894,NA,NA,NA
"0.025quant",-0.0508359694431218,89.1794371727137,0.768483826923365,0.00399969915524687,0.000264191605955007,0.0158818057524501,0.489631784376488,0.0378909032374492
"0.5quant",0.00767655630364782,536.954006981786,3.65275347339921,0.0157841634765468,0.00217577304147953,0.0121419886509946,0.48810862791498,0.0363930475985671
"0.975quant",0.066141928248309,3586.41157621764,21.4837022910051,0.0672220453162238,0.0161077015917577,0.00684985244212262,0.486360727102758,0.0350992140428621
"mode",0.00767739558373108,228.927067355721,1.85083125587568,0.00952726029626595,0.00070247470135906,0.0150192080064938,0.488234312207255,0.0363448307918316
